Timestamp,Battery Code,Team Number,Purchase Year,Battery Number,Status,Current Usage (J),Battery Feel,Charged mAh
2025-01-31 14:42:03,030220250001,0302,2025,0001,Added to System,,,
2025-01-31 14:42:04,030220250002,0302,2025,0002,Added to System,,,
2025-01-31 14:42:18,030220250006,0302,2025,0006,Added to System,,,
2025-01-31 14:42:19,030220250005,0302,2025,0005,Added to System,,,
2025-01-31 14:42:35,030220250005,0302,2025,0005,Cooldown To Robot,,,
2025-01-31 14:42:39,030220250003,0302,2025,0003,Added to System,,,
2025-01-31 14:42:41,030220250004,0302,2025,0004,Added to System,,,
2025-01-31 14:46:52,030220250001,0302,2025,0001,Cooldown To Robot,,,
2025-01-31 14:47:02,030220250001,0302,2025,0001,Ready for ROBOT,,,
2025-01-31 14:47:04,030220250001,0302,2025,0001,In Use,,,
2025-01-31 14:47:13,030220250001,0302,2025,0001,Cooldown To Charge,,,
2025-01-31 14:47:13,030220250002,0302,2025,0002,Cooldown To Robot,,,
2025-01-31 14:47:16,030220250001,0302,2025,0001,Ready for CHARGING,,,
2025-01-31 14:47:16,030220250002,0302,2025,0002,Ready for ROBOT,,,
2025-01-31 14:47:22,030220250002,0302,2025,0002,In Use,,,
2025-01-31 14:47:22,030220250001,0302,2025,0001,Charging,,,
2025-01-31 14:47:22,030220250003,0302,2025,0003,Cooldown To Robot,,,
2025-01-31 14:49:20,030220250001,0302,2025,0001,Cooldown To Robot,,,
2025-01-31 14:49:21,030220250002,0302,2025,0002,Cooldown To Robot,,,
2025-01-31 14:49:36,030220250001,0302,2025,0001,Ready for ROBOT,,,
2025-01-31 14:49:53,030220250001,0302,2025,0001,In Use,,,
2025-01-31 19:39:21,030220250001,0302,2025,0001,Cooldown To Robot,,,
2025-01-31 19:51:05,030220250001,0302,2025,0001,Cooldown To Robot,,,
2025-01-31 19:51:07,030220250001,0302,2025,0001,Ready for ROBOT,,,
2025-01-31 19:53:24,030220250001,0302,2025,0001,In Use,,,
2025-01-31 19:53:38,030220250001,0302,2025,0001,Cooldown To Charge,,,
2025-01-31 19:55:50,030220250001,0302,2025,0001,In Use,,,
2025-01-31 19:56:04,030220250001,0302,2025,0001,Charging,,,
2025-01-31 19:56:14,030220250001,0302,2025,0001,In Use,,,
2025-01-31 19:56:16,030220250002,0302,2025,0002,In Use,,,
2025-01-31 19:56:25,030220250002,0302,2025,0002,Charging,,,
2025-01-31 19:56:26,030220250001,0302,2025,0001,Charging,,,
2025-01-31 20:00:39,030220250001,0302,2025,0001,In Use,,,
2025-01-31 20:00:58,030220250001,0302,2025,0001,Charging,,,
2025-02-17 18:50:31,030220250007,0302,2025,0007,Added to System,,,
2025-02-17 18:51:16,030220250008,0302,2025,0008,Added to System,,,
2025-02-17 18:51:51,030220250009,0302,2025,0009,Added to System,,,
2025-02-17 18:52:05,030220250010,0302,2025,0010,Added to System,,,
